phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.953061224489796,2191.813891291797,0.0019176837012830949,0.00023616258234702777,0.0002597977636136538,0.010215003272046486,0.003023932009861414,0.17845420697104972,7.966806153530313e-07,6.017421518324603e-08,4.032968101499056e-18,4.932586043829097e-19,1.2513968146902385e-18,7.356131912446872e-20,7.078330577607134e-18,3.0140363650386054e-18,0.004858067330559066,0.0861431404418317,2.757891316140266e-10,3.782066272839663e-12,7.931625623324273e-18,1.2355419914572295e-19,5.747805230319954e-19,1.815447584855272e-25,4.365219439023222e-23,2.2798617721221077e-28,2.1314991552547744e-28,1.595925195962952e-33,9.986466482305193e-35,5.457279276158925e-21,6.3405679804837834e-21,5.5668030688363144e-24,9.630460890814509e-09,1.286489282289582e-09,4.297940536971699e-10,1.091850626522301e-09,4.5237716593195263e-10,0.0026165964946293467,7.451966042716801e-07,1.394619406190006e-07,3.350829104588196e-08,1.5656327825587222e-14,4.184784528983696e-12,7.8665116871370555e-19,2.162986963415001e-22,3.1602246977961744e-17,4.1074195708757575e-13,1.5262683285728678e-10,6.78910254494912e-12,0.716723825300361,0.0,1.2728148144916014e-49,7.529689098290919e-51,1.8121158996798556e-26,3.067113610762293e-27,0.0
1.0183673469387755,2231.990961757631,0.004668830967433249,0.00046248276570755374,0.00018543216895381946,0.0031257193247332493,0.0027066307996713363,0.18701487937820427,3.827554717676424e-07,3.882857310950083e-08,3.9318193776082085e-17,6.621553851681569e-18,2.1215638505342117e-17,1.2933115153727885e-18,1.464569437223629e-16,7.81263924939562e-17,0.01144267773988029,0.08519158206890717,1.1740932404145171e-09,2.1556679720095058e-11,7.728480135174657e-17,1.2411447970685313e-18,7.213886706726542e-18,1.1300394146219836e-23,3.0246553421292447e-21,2.61906279387822e-26,2.981024520967719e-26,3.700693400780476e-31,2.950045156105016e-32,1.2715114438831382e-19,1.841454101807946e-19,1.8438635858432106e-22,1.5474721504234745e-08,2.8484650653182652e-09,1.2530721913506639e-09,3.902798151295634e-09,8.952810948441017e-10,0.0015797826218633933,2.3512307802390356e-07,8.367409396632926e-08,3.19880723705655e-08,1.1467972209745727e-13,3.530222322570699e-11,1.1549247335765838e-17,2.534185647119916e-21,1.5378072426886705e-16,1.6547348289250991e-12,5.564762631212958e-10,2.0414746128134578e-11,0.7127928987886853,0.0,3.357467602441714e-46,2.5264218296171423e-47,8.762089030409052e-25,1.9099697840769382e-25,0.0
1.0836734693877552,2219.738372148106,0.01063702249006271,0.0006551828594396896,7.269831908192316e-05,0.000554552809727466,0.0017020809790468249,0.19258009868235063,1.0179420923296597e-07,1.6225035648110266e-08,1.487160263098057e-16,3.905714959908658e-17,2.0030208292220826e-16,1.2077487169679136e-17,2.2360873866763765e-15,1.913791821891279e-15,0.023278235526138412,0.0789196880976878,3.431811650202226e-09,9.909327800036123e-11,5.190848909789722e-16,8.2598864265962e-18,7.709247453804447e-17,3.1219331684539877e-22,1.389284289887213e-19,1.7740034080236266e-24,3.2677349663833298e-24,5.982010068675068e-29,7.612578698319097e-30,1.6559642823999172e-18,3.853709397461074e-18,3.708932193680297e-21,1.3434220357953138e-08,3.8555649678213e-09,2.6808463821063678e-09,1.348431769483e-08,1.2427259798165983e-09,0.0006457888211494886,4.097663046348221e-08,3.397458880913047e-08,1.955959274118927e-08,4.687108209273163e-13,2.374410130825555e-10,1.1288885744046726e-16,1.5307062982668763e-20,4.280450793956811e-16,4.875555089990723e-12,1.689616303126859e-09,3.825398443251697e-11,0.708865212866585,0.0,5.7201343409117805e-43,6.874458621917438e-44,2.700635018516966e-23,9.366980386711247e-24,0.0
1.1489795918367347,2176.134160206258,0.019553504371090862,0.0006975959024160534,2.3341531540745903e-05,9.852138906394613e-05,0.0009345813442252739,0.19501728880574765,2.415862398344077e-08,6.107176122467107e-09,2.267469361878976e-16,9.189787756031999e-17,7.997362036961894e-16,4.633195118179209e-17,1.5732064039107092e-14,2.3056641301537295e-14,0.03688637288009617,0.07080710091828656,6.223084148555569e-09,2.859995498915299e-10,1.8226364981609694e-15,2.804909439513712e-17,4.495396877026526e-16,2.4947908242739332e-21,2.1644402092683622e-18,3.477528215000242e-23,1.1318320102965704e-22,2.6069498672853637e-27,5.576746927233828e-28,8.49975674344903e-18,3.405589439061518e-17,2.836839445821744e-20,7.993101689602322e-09,3.537121054183502e-09,3.9864775283861645e-09,3.515553894729709e-08,1.2719429976352227e-09,0.0002457674605725142,6.941495170938904e-09,1.2840242529151096e-08,9.868387854009073e-09,9.649725927206813e-13,9.180757125644212e-10,5.206944724818043e-16,4.0679421138325306e-20,6.609133951526235e-16,9.264187319351764e-12,3.5829034122776925e-09,4.570824975720507e-11,0.7047242294064673,0.0,1.5190096908450865e-40,3.073896434088021e-41,2.9892055118146465e-22,1.7220926349509558e-22,0.0
1.2142857142857144,2125.2087797097306,0.030349724126578187,0.0006466817833480171,7.781607905659561e-06,2.1307259580066603e-05,0.000515668932066631,0.19531331261510204,6.399434156786887e-09,2.4429046343030317e-09,2.1782353195160003e-16,1.2893403606806266e-16,1.8394833182503016e-15,1.0149892240866606e-16,6.214397780406011e-14,1.5111156439266666e-13,0.049586950306155786,0.06353520426455687,8.48442862641295e-09,5.914679183961781e-10,4.118829593466883e-15,6.086945095879461e-17,1.6229199139237517e-15,8.951216055968632e-21,1.5085837672943914e-17,2.7592867105254657e-22,1.5474713517231855e-21,4.0580424688441974e-26,1.4075692785614914e-26,2.372899472235292e-17,1.5872475390853565e-16,1.1088312928569314e-19,4.2416084674080525e-09,2.7380711018483704e-09,4.78548788038333e-09,7.202327249503206e-08,1.1270635945117976e-09,0.00010096069209439962,1.4190114563415048e-09,5.240681313172827e-09,4.921356571227055e-09,1.3391969675489633e-12,2.3648961277711406e-09,1.4309519448504094e-15,6.643775009651917e-20,7.420642345579736e-16,1.3394456679080946e-11,5.9236275793912725e-09,4.363122533238382e-11,0.7005084206896872,0.0,9.133977311842652e-39,3.003304258202503e-39,1.5774515329325933e-21,1.4522014115464477e-21,0.0
1.279591836734694,2073.394695364162,0.042498749001149666,0.0005580030979782679,2.725832411891906e-06,5.32570666794217e-06,0.00028954603559556454,0.19404767051100102,1.8596131028662696e-09,1.0320693086167983e-09,1.6520704790589244e-16,1.371909051794636e-16,3.1056849176170507e-15,1.626762023770293e-16,1.7503899270582877e-13,6.847422280567785e-13,0.060980835428326434,0.05750434382686722,9.916918988605289e-09,1.010144018143523e-09,7.239629761776727e-15,1.0249092244042783e-16,4.405172290399933e-15,2.0572512411824824e-20,6.596799657135937e-17,1.2972008477311087e-21,1.2180468016179904e-20,3.434867477075332e-25,1.869391535983066e-25,4.7249428706142355e-17,5.11597521688047e-16,2.962454475783988e-19,2.156031874804876e-09,1.9496646195400813e-09,5.096925218677478e-09,1.2710483600101208e-07,9.277407088434996e-10,4.422075057159516e-05,3.3423787890581437e-10,2.2820860762665276e-09,2.4835015870140594e-09,1.505282606490929e-12,4.818024573953559e-09,2.924667524333692e-15,8.327033133596934e-20,7.057050214314874e-16,1.6681651949824072e-11,8.515208110400738e-09,3.7264534354361734e-11,0.6963004225216375,0.0,2.2745713412975313e-37,1.1761331879058606e-37,5.43558131172837e-21,7.730261581689095e-21,0.0
1.3448979591836736,2022.1965640514218,0.05566290357717685,0.0004600195041938421,9.869681559724985e-07,1.4621748855749952e-06,0.0001644450803036105,0.19159206161927267,5.738904619243995e-10,4.515666257439556e-10,1.0846917169584858e-16,1.230597458321969e-16,4.323777768151912e-15,2.145697483403332e-16,3.9864949536718513e-13,2.4578752471853977e-12,0.07119002529897869,0.05259370634286008,1.0556968641165425e-08,1.5328681002744624e-09,1.0880154994566393e-14,1.473543360810457e-16,9.994931532039782e-15,3.5950425576126477e-20,2.1613095460104057e-16,4.403795730869648e-21,6.789841059345419e-20,1.9847871290202846e-24,1.6580999198228164e-24,7.658268631337972e-17,1.3146595132039046e-15,6.266418980426759e-19,1.0678022626865233e-09,1.3168874750775432e-09,5.027314984891472e-09,2.0360920433891253e-07,7.288139438883138e-10,2.019871596920897e-05,8.633262676318947e-11,1.0370641202933388e-09,1.26377870058448e-09,1.4875425801355985e-12,8.48884247560124e-09,4.969819585387002e-15,8.864324440244882e-20,6.06972619760055e-16,1.89789672078636e-11,1.1246763930032105e-08,2.9819363505027156e-11,0.6921269780536714,0.0,3.262221653876217e-36,2.5954224480014203e-36,1.4391476531001694e-20,3.0913327100905466e-20,0.0
1.410204081632653,1972.0089085837876,0.06957882991631269,0.0003667841956896246,3.641916236287931e-07,4.265995535329057e-07,9.388981437329692e-05,0.1882283632070684,1.8382431764913184e-10,2.0172819850889014e-10,6.438650228850687e-17,9.805549840356526e-17,5.2731422900179875e-15,2.475142851878875e-16,7.859742546621255e-13,7.542697124605193e-12,0.08041250486367396,0.048606462229103906,1.0553268939841892e-08,2.149501564795097e-09,1.4700759393042463e-14,1.9026860480146095e-16,2.0098444666454728e-14,5.220400136553613e-20,5.838423464567681e-16,1.2008091445136673e-20,3.0047024765105913e-19,8.870802082827307e-24,1.122011038437128e-23,1.0821204728570952e-16,2.907807995623711e-15,1.1344291402705284e-18,5.175936467437857e-10,8.55143773768472e-10,4.693867466629722e-09,3.0500141534436965e-07,5.532452438147316e-10,9.471810833481493e-06,2.3666182710149565e-11,4.841784390348595e-10,6.449669962567843e-10,1.3461819960526973e-12,1.3570841347561911e-08,7.449296041997384e-15,8.435723984142686e-20,4.874638341065551e-16,2.0328616296097034e-11,1.40526932727371e-08,2.284147944515274e-11,0.6879968858207234,0.0,3.231379765842394e-35,3.902072152277428e-35,3.1949009735956224e-20,1.0219070675051899e-19,0.0
1.4755102040816328,1922.9201858623899,0.08403933357153757,0.00028471042206869784,1.3551779080817202e-07,1.2938471254258633e-07,5.363448197580361e-05,0.1841749368354753,6.01559717384391e-11,9.110769849045588e-11,3.5364895892892624e-17,7.145984338103822e-17,5.8340813286069435e-15,2.586093007984936e-16,1.397288151289194e-12,2.0732411950839237e-11,0.08883268665195389,0.045359326793985646,1.0078359975226296e-08,2.85053410737928e-09,1.8392207541070757e-14,2.2726096802921177e-16,3.710713617310186e-14,6.629438550254866e-20,1.3762255052544608e-15,2.8009437540961526e-20,1.13070167275439e-18,3.3056115774349e-23,6.280461637908063e-23,1.3865837221227234e-16,5.791897460191821e-15,1.83934513013489e-18,2.457628868922442e-10,5.37511453688376e-10,4.201520158649611e-09,4.3520589622910005e-07,4.085157514002225e-10,4.5107195156571845e-06,6.735810389346617e-12,2.2973671372107408e-10,3.2858949553173013e-10,1.141249582470587e-12,2.0251966649087433e-08,1.0197575084248737e-14,7.387660443961638e-20,3.7198789402598037e-16,2.08535919791333e-11,1.689483639690478e-08,1.6937107386522015e-11,0.6839130179886492,0.0,2.4661566544056775e-34,4.484883213205287e-34,6.261437342339912e-20,2.9573896925186247e-19,0.0
1.5408163265306125,1874.9234204426875,0.09888488549307564,0.00021599661576611796,5.044953660559804e-08,4.016874267994577e-08,3.05425836896603e-05,0.17959897669467104,1.988498367858173e-11,4.13038837742311e-11,1.8217497516453143e-17,4.8479124352166925e-17,5.9854470431408615e-15,2.501556095002066e-16,2.299429940193597e-12,5.262435140496275e-11,0.09660283078419676,0.04270114113131917,9.2915320155129e-09,3.6278142453923366e-09,2.1708453594229395e-14,2.558208470932245e-16,6.436138611727031e-14,7.600423914486371e-20,2.935077566533964e-15,5.818186548195223e-20,3.7830474184751864e-18,1.078133315744e-22,3.065784779130643e-22,1.651046408328183e-16,1.0692044641601013e-14,2.748587574254118e-18,1.1425899383658799e-10,3.2826793100396475e-10,3.634416423975425e-09,5.988473285149351e-07,2.945566922274103e-10,2.164601816711493e-06,1.9599708571046747e-12,1.0992673361906429e-10,1.6649521324382184e-10,9.188705691044536e-13,2.8726567341827697e-08,1.3033746440757972e-14,6.060768299156557e-20,2.725345371803304e-16,2.0703976225775114e-11,1.975221839049556e-08,1.2234205181107867e-11,0.6798760777637224,0.0,1.5566431259074055e-33,4.248242373254997e-33,1.1193912063626407e-19,7.775271329742816e-19,0.0
