grid,velocity,spread_rate,lambda,T,density,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0375,1.714252071231306,14.009228264490863,-44.829520934034676,373.0103233189549,0.0535811153936414,0.16663545956701994,1.0846416246240835e-07,2.11205020452485e-09,0.10417053594812244,1.739523878378059e-09,5.969579464720872e-08,4.2765415062874834e-07,1.1872204607467377e-09,0.7291934036319554,0.0
0.037968749999999996,1.701042337143849,14.18434662433841,-44.829520934034676,373.0155609394311,0.053580927005824015,0.1666260024921558,1.695606293522505e-07,3.456626214472565e-09,0.10417162541774426,3.873784135000902e-09,1.0668883078030941e-07,6.21022878222402e-07,2.155964770327366e-09,0.7292014653313863,0.0
0.0384375,1.6876765969615044,14.35946746205,-44.829520934034676,373.02388797265434,0.05358047883495204,0.166613432127006,2.6447299877876686e-07,5.774202225422059e-09,0.10417302179715669,8.621787422787886e-09,1.966508195768691e-07,9.131669653153128e-07,4.04739615403167e-09,0.7292121533416678,0.0
0.038906249999999996,1.6741609432012667,14.534592473654438,-44.829520934034676,373.0370851618992,0.05357957242120807,0.1665967583799289,4.1161539643010444e-07,9.732948807268076e-09,0.10417479648840423,1.901242635442986e-08,3.665867744521787e-07,1.3476821290881587e-06,7.670954363474895e-09,0.7292262828310375,0.0
0.03937499999999999,1.6605052081865483,14.70972435692679,-44.829520934034676,373.05792045357,0.05357788417152844,0.16657468989226348,6.391159458777294e-07,1.642253283412275e-08,0.1041770317375487,4.1266821311602604e-08,6.82625204524599e-07,1.981248058951832e-06,1.4439013780122915e-08,0.7292449032526106,0.0
0.03984375,1.64672495050855,14.884867276626833,-44.829520934034676,373.09065666605807,0.053574896777407885,0.1665455483461237,9.897251480286608e-07,2.7580719420977374e-08,0.10417982151629229,8.764728679968223e-08,1.259839371698242e-06,2.882043703904418e-06,2.6675925397108967e-08,0.7292693566254289,0.0
0.040312499999999994,1.632844292138255,15.060027399304003,-44.829520934034676,373.14177970336317,0.05356979997346451,0.1665071615086129,1.5281287858290353e-06,4.5901975752822963e-08,0.10418327462356766,1.8110139278250309e-07,2.292269146899884e-06,4.122275179931924e-06,4.7912996969497605e-08,0.7293013462783413,0.0
0.04078124999999999,1.6188997907600862,15.235213274457479,-44.829520934034676,373.22100233316587,0.053561353143171044,0.16645673145265885,2.3519680781263736e-06,7.541795729563191e-08,0.10418752392030768,3.617513287113683e-07,4.095173255346297e-06,5.7607097178305295e-06,8.292512454682332e-08,0.7293430166815716,0.0
0.04101562499999999,1.6119239653796937,15.322821249397268,-44.829520934034676,373.27649461570456,0.05355517934543728,0.16642565332224166,2.9263534466378225e-06,9.65368235262875e-08,0.1041900150758197,5.08666876626182e-07,5.46967910457878e-06,6.734245601612269e-06,1.0759295006721189e-07,0.7293684885271355,0.0
0.041249999999999995,1.6049634501693157,15.41044433327478,-44.829520934034676,373.3471003522964,0.05354710253917074,0.1663897904509266,3.6404165184464875e-06,1.236924378652062e-07,0.104192744398674,7.128240931281188e-07,7.334418375582579e-06,7.83058305780478e-06,1.3915159209381046e-07,0.7293976840643244,0.0
0.041484375,1.5980334642793357,15.498086865469107,-44.829520934034676,373.4367342637898,0.0535365981340798,0.1663484458223106,4.5271633509312304e-06,1.5838827533184958e-07,0.10419571387780274,9.928027626236698e-07,9.849446252198766e-06,9.045041799796853e-06,1.789291037885627e-07,0.7294310885283419,0.0
0.04171875,1.591152819472895,15.585754355647174,-44.829520934034676,373.5502305761626,0.053523014960251664,0.16630083029035783,5.627340540735693e-06,2.0242423728191313e-07,0.10419891722230396,1.3718889007096392e-06,1.3220541086435915e-05,1.0365523402131591e-05,2.282586397550058e-07,0.7294692365105312,0.0
0.041953124999999994,1.5843446075986312,15.673453792452493,-44.829520934034676,373.6935235591917,0.05350555059067431,0.16624605270471896,6.991305821858952e-06,2.5793209097262405e-07,0.10420233559952886,1.8786621862118647e-06,1.7710158622037578e-05,1.1771456293639252e-05,2.883790085801443e-07,0.7295127138017289,0.0
0.042187499999999996,1.577636975926331,15.76119404583591,-44.829520934034676,373.87385310663035,0.05348322360415595,0.16618310953903678,8.681350470339123e-06,3.274102936258282e-07,0.10420593147144303,2.5474888252993903e-06,2.3650556449391975e-05,1.3233418902227624e-05,3.603216974132175e-07,0.7295621584428819,0.0
0.042421875,1.571063996360065,15.848986404492345,-44.829520934034676,374.0999974655449,0.053454842745327046,0.16611087414104925,1.077455903369244e-05,4.137580710146671e-07,0.10420963984677563,3.4188990202917336e-06,3.1459615777456076e-05,1.471372967581461e-05,4.448033188599709e-07,0.7296182606472781,0.0
0.04265624999999999,1.5646666386545176,15.936845315041234,-44.829520934034676,374.38253622782287,0.053418972903308194,0.16602808577879338,1.336628586684564e-05,5.203097118103487e-07,0.10421335612399266,4.539884058340576e-06,4.1660151065606616e-05,1.6168174692149626e-05,5.421501897652273e-07,0.7296817611416293,0.0
0.042890624999999995,1.558493864553649,16.024789431321697,-44.829520934034676,374.7341483564087,0.05337389774173752,0.165933338737927,1.657430605883217e-05,6.508721841516512e-07,0.10421691954416493,5.964263742550391e-06,5.490386945721662e-05,1.754878721151095e-05,6.522860680384651e-07,0.7297534473331856,0.0
0.043125,1.5526038689700914,16.11284315123319,-44.829520934034676,375.16995229017675,0.053317578691038946,0.16582507184795517,2.0543649124013018e-05,8.097733207737461e-07,0.10422009107147885,7.753510627792982e-06,7.200159841919202e-05,1.8807165393448857e-05,7.748131875583782e-07,0.7298341465704933,0.0
0.04359375,1.5418749521398796,16.289349070835176,-44.829520934034676,376.34775177276487,0.053164126708337985,0.1655630632844938,3.128774032582951e-05,1.2269168360965102e-06,0.10422421762974059,1.2635237910660231e-05,0.0001207274613083247,2.0817097279475654e-05,1.055195085785243e-06,0.7300249694370193,0.0
0.0440625,1.532880487017924,16.466501377617035,-44.829520934034676,378.02559916748334,0.052944656853234434,0.16522977599077873,4.742233747618707e-05,1.7969171266841673e-06,0.104223931378555,1.9628005712312482e-05,0.00019355977796590783,2.2119454179894326e-05,1.3700679520185083e-06,0.7302603960702533,0.0
0.044531249999999994,1.5262220737016687,16.64452467926355,-44.829520934034676,380.36711771069236,0.0526387846738223,0.1648089491117365,7.15407921146918e-05,2.556710585632132e-06,0.10421576465356293,2.9341884589583033e-05,0.0002995268613826737,2.2772376284503483e-05,1.7174829377123972e-06,0.7305478301268059,0.0
0.045,1.522597686856551,16.823678232577755,-44.829520934034676,383.5657546667531,0.052223866819258495,0.16428197020622495,0.00010732708003325759,3.5450617173719526e-06,0.10419512524864448,4.242861651335598e-05,0.00044976549988641137,2.294313952379949e-05,2.102271194521954e-06,0.730894792876262,0.0
0.04546875,1.5227642132062047,17.004226208792705,-44.829520934034676,387.83659094359854,0.051677200636139446,0.16362813304559162,0.00015988379780101531,4.799348756218985e-06,0.10415661002446829,5.949146468055745e-05,0.0006571856734760998,2.2798601759841197e-05,2.532621991938507e-06,0.7313085654214744,0.0
0.045703125,1.5245574574336964,17.09514155346884,-44.829520934034676,390.45771908722526,0.051346383176204415,0.1632436980868447,0.00019518515596207294,5.540313764041725e-06,0.10412850286969129,6.969141934235279e-05,0.0007880091885255846,2.2648141774838482e-05,2.7666309168972483e-06,0.7315439581931782,0.0
0.0459375,1.5277705686887397,17.186622597585473,-44.829520934034676,393.4797700820028,0.05096935022787552,0.16281603298957145,0.00023779989552822107,6.368709103748914e-06,0.10409179487772002,8.109572470478473e-05,0.0009424181816677798,2.244087414047004e-05,3.0144475276417135e-06,0.7317990343000359,0.0
0.046171875,1.5325359712757136,17.278743534241293,-44.829520934034676,396.94198404952004,0.05054333409422208,0.16234176233488093,0.0002890091763512332,7.28707802343177e-06,0.10404499897472443,9.363406657973411e-05,0.0011236621389903469,2.217878712209135e-05,3.273827154564787e-06,0.7320741936161733,0.0
0.046406249999999996,1.5389791729419462,17.37158517841505,-44.829520934034676,400.88242103781994,0.050066271667703686,0.16181753493515444,0.0003502365231961411,8.296513359617025e-06,0.10398652804403927,0.00010717787290871563,0.0013351789128609548,2.1862315822210745e-05,3.5402583160270015e-06,0.7323696446243427,0.0
0.046640625,1.5472151593675496,17.465236665161402,-44.829520934034676,405.33697099272683,0.049536957912427335,0.1612400740672379,0.0004230405018808007,9.396560071118428e-06,0.10391470790729011,0.00012152879712647963,0.0015805642692338713,2.1491172274268366e-05,3.8066057579979727e-06,0.7326853901191275,0.0
0.046875,1.557344656328988,17.559798397938113,-44.829520934034676,410.3383229496536,0.04895517341418683,0.16060622886778916,0.0005091001596713789,1.0585341587933208e-05,0.10382778533618915,0.00013640804123681455,0.001863546109327549,2.106482095412827e-05,4.063014111377794e-06,0.7330212183091326,0.0
